14:05:59.804 Generated session secret
14:06:00.766 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
14:06:00.769 DB size: 4 KB
14:06:02.137 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T14:06:00.400Z"
}
15:03:35.345 200 GET /api/health-check with 15 bytes took 2ms
15:04:05.617 200 GET /api/health-check with 15 bytes took 1ms
15:04:35.837 200 GET /api/health-check with 15 bytes took 3ms
15:05:06.090 200 GET /api/health-check with 15 bytes took 2ms
15:05:36.329 200 GET /api/health-check with 15 bytes took 3ms
15:06:06.678 200 GET /api/health-check with 15 bytes took 2ms
15:06:36.927 200 GET /api/health-check with 15 bytes took 3ms
15:07:07.191 200 GET /api/health-check with 15 bytes took 1ms
15:07:37.455 200 GET /api/health-check with 15 bytes took 8ms
15:08:07.692 200 GET /api/health-check with 15 bytes took 2ms
15:08:38.002 200 GET /api/health-check with 15 bytes took 4ms
15:09:08.277 200 GET /api/health-check with 15 bytes took 3ms
15:09:38.490 200 GET /api/health-check with 15 bytes took 1ms
15:10:08.761 200 GET /api/health-check with 15 bytes took 4ms
15:10:38.992 200 GET /api/health-check with 15 bytes took 2ms
15:11:09.256 200 GET /api/health-check with 15 bytes took 2ms
15:11:39.516 200 GET /api/health-check with 15 bytes took 1ms
15:12:09.779 200 GET /api/health-check with 15 bytes took 3ms
15:12:40.008 200 GET /api/health-check with 15 bytes took 2ms
15:13:10.263 200 GET /api/health-check with 15 bytes took 3ms
15:13:40.513 200 GET /api/health-check with 15 bytes took 3ms
15:14:10.774 200 GET /api/health-check with 15 bytes took 2ms
15:14:41.007 200 GET /api/health-check with 15 bytes took 3ms
15:15:11.323 200 GET /api/health-check with 15 bytes took 2ms
15:15:41.545 200 GET /api/health-check with 15 bytes took 2ms
15:16:11.848 Slow 200 GET /api/health-check with 15 bytes took 10ms
15:16:42.137 200 GET /api/health-check with 15 bytes took 2ms
15:17:12.355 200 GET /api/health-check with 15 bytes took 1ms
15:17:42.614 200 GET /api/health-check with 15 bytes took 4ms
15:18:12.891 200 GET /api/health-check with 15 bytes took 3ms
15:18:43.171 200 GET /api/health-check with 15 bytes took 3ms
15:19:13.415 200 GET /api/health-check with 15 bytes took 2ms
15:19:43.680 200 GET /api/health-check with 15 bytes took 2ms
15:20:13.924 200 GET /api/health-check with 15 bytes took 1ms
15:20:44.191 200 GET /api/health-check with 15 bytes took 6ms
15:21:14.465 200 GET /api/health-check with 15 bytes took 5ms
15:21:44.776 200 GET /api/health-check with 15 bytes took 3ms
15:22:15.046 200 GET /api/health-check with 15 bytes took 4ms
15:22:45.296 200 GET /api/health-check with 15 bytes took 2ms
15:23:15.515 200 GET /api/health-check with 15 bytes took 1ms
15:23:45.805 200 GET /api/health-check with 15 bytes took 4ms
15:24:16.066 200 GET /api/health-check with 15 bytes took 3ms
15:24:46.294 200 GET /api/health-check with 15 bytes took 2ms
15:25:16.568 200 GET /api/health-check with 15 bytes took 3ms
15:25:46.803 200 GET /api/health-check with 15 bytes took 1ms
15:26:17.052 200 GET /api/health-check with 15 bytes took 7ms
15:26:47.258 200 GET /api/health-check with 15 bytes took 1ms
15:27:17.597 200 GET /api/health-check with 15 bytes took 5ms
15:27:47.884 200 GET /api/health-check with 15 bytes took 5ms
15:28:18.097 200 GET /api/health-check with 15 bytes took 1ms
15:28:48.365 200 GET /api/health-check with 15 bytes took 4ms
15:29:18.633 200 GET /api/health-check with 15 bytes took 1ms
15:29:48.920 200 GET /api/health-check with 15 bytes took 3ms
15:30:19.156 200 GET /api/health-check with 15 bytes took 2ms
15:30:49.418 200 GET /api/health-check with 15 bytes took 3ms
15:31:19.657 200 GET /api/health-check with 15 bytes took 3ms
15:31:49.902 200 GET /api/health-check with 15 bytes took 3ms
15:32:20.152 200 GET /api/health-check with 15 bytes took 3ms
15:32:50.399 200 GET /api/health-check with 15 bytes took 2ms
15:33:20.665 200 GET /api/health-check with 15 bytes took 3ms
15:33:51.004 200 GET /api/health-check with 15 bytes took 3ms
15:34:21.230 200 GET /api/health-check with 15 bytes took 2ms
15:34:51.570 200 GET /api/health-check with 15 bytes took 5ms
15:35:21.834 200 GET /api/health-check with 15 bytes took 3ms
15:35:52.135 200 GET /api/health-check with 15 bytes took 1ms
15:36:22.391 200 GET /api/health-check with 15 bytes took 3ms
15:36:52.686 200 GET /api/health-check with 15 bytes took 4ms
15:37:22.926 200 GET /api/health-check with 15 bytes took 2ms
15:37:53.221 200 GET /api/health-check with 15 bytes took 2ms
15:38:23.435 200 GET /api/health-check with 15 bytes took 2ms
15:38:53.699 200 GET /api/health-check with 15 bytes took 2ms
15:39:23.962 200 GET /api/health-check with 15 bytes took 6ms
15:39:54.241 200 GET /api/health-check with 15 bytes took 3ms
15:40:24.523 200 GET /api/health-check with 15 bytes took 3ms
15:40:54.767 200 GET /api/health-check with 15 bytes took 2ms
15:41:24.993 200 GET /api/health-check with 15 bytes took 2ms
15:41:55.262 200 GET /api/health-check with 15 bytes took 2ms
15:42:25.514 200 GET /api/health-check with 15 bytes took 1ms
15:42:55.834 200 GET /api/health-check with 15 bytes took 2ms
15:43:26.080 200 GET /api/health-check with 15 bytes took 1ms
15:43:56.451 200 GET /api/health-check with 15 bytes took 3ms
15:44:26.768 200 GET /api/health-check with 15 bytes took 3ms
15:44:57.046 200 GET /api/health-check with 15 bytes took 2ms
15:45:27.298 200 GET /api/health-check with 15 bytes took 1ms
15:45:57.561 200 GET /api/health-check with 15 bytes took 2ms
15:46:27.800 200 GET /api/health-check with 15 bytes took 1ms
15:46:58.118 200 GET /api/health-check with 15 bytes took 3ms
15:47:28.388 200 GET /api/health-check with 15 bytes took 3ms
15:47:58.629 200 GET /api/health-check with 15 bytes took 2ms
15:48:28.997 200 GET /api/health-check with 15 bytes took 3ms
15:48:59.311 200 GET /api/health-check with 15 bytes took 3ms
15:49:29.558 200 GET /api/health-check with 15 bytes took 2ms
15:49:59.805 200 GET /api/health-check with 15 bytes took 4ms
15:50:30.084 200 GET /api/health-check with 15 bytes took 2ms
15:51:00.347 200 GET /api/health-check with 15 bytes took 2ms
15:51:30.606 200 GET /api/health-check with 15 bytes took 2ms
15:52:00.852 200 GET /api/health-check with 15 bytes took 2ms
15:52:31.108 200 GET /api/health-check with 15 bytes took 3ms
15:53:01.399 200 GET /api/health-check with 15 bytes took 1ms
15:53:31.717 200 GET /api/health-check with 15 bytes took 5ms
15:54:02.056 200 GET /api/health-check with 15 bytes took 1ms
15:54:32.306 200 GET /api/health-check with 15 bytes took 1ms
15:55:02.631 200 GET /api/health-check with 15 bytes took 3ms
15:55:32.875 200 GET /api/health-check with 15 bytes took 2ms
15:56:03.162 200 GET /api/health-check with 15 bytes took 3ms
15:56:33.423 200 GET /api/health-check with 15 bytes took 1ms
15:57:03.701 200 GET /api/health-check with 15 bytes took 2ms
15:57:33.935 200 GET /api/health-check with 15 bytes took 2ms
15:58:04.264 200 GET /api/health-check with 15 bytes took 2ms
15:58:34.524 200 GET /api/health-check with 15 bytes took 2ms
15:59:04.776 200 GET /api/health-check with 15 bytes took 2ms
15:59:35.034 200 GET /api/health-check with 15 bytes took 2ms
16:00:05.369 200 GET /api/health-check with 15 bytes took 2ms
16:00:35.650 200 GET /api/health-check with 15 bytes took 4ms
16:01:05.906 200 GET /api/health-check with 15 bytes took 3ms
16:01:36.166 200 GET /api/health-check with 15 bytes took 4ms
16:02:06.418 200 GET /api/health-check with 15 bytes took 2ms
